Fuel Economy Score,10,Fuel Economy Score,1,,Hypothesis: FE Score 1 vehicles have the same annual fuel costs as FE Score 10 vehicles.,,,,,,,,
,,,,,,,,,,,,,
Row Labels,Sum of Total Annual Fuel Cost,Row Labels,Sum of Total Annual Fuel Cost,,,,,,,,,,
32655,1850,32471,2900,,,,,,,,,,
32711,850,32476,2900,,,,,,,,,,
33010,850,32500,6100,,,,,,,,,,
33024,600,32501,6100,,,,,,,,,,
33083,850,32504,6100,,t-Test: Two-Sample Assuming Unequal Variances,,,,,,,,
33158,850,32507,6100,,,,,,,,,,
33159,850,32513,2900,,,FE Score 10,FE SCORE 1,,,,,,
33265,550,32515,2900,,Mean,801.7857143,3581.153846,,,,,,
33288,850,32656,4250,,Variance,109158.4688,1135824.24,,,,,,
33305,600,33218,2900,,Observations,168,130,,,,,,
33306,600,33222,3200,,Hypothesized Mean Difference,0,,,,,,,
33307,550,33413,3500,,df,148,,,,,,,
33315,700,33614,4250,,t Stat,-28.6870473,,,,,,,
33324,750,33617,3500,,P(T<=t) one-tail,1.25126E-62,,,,,,,
33331,850,33618,3250,,t Critical one-tail,1.655214506,,,,,,,
33335,700,33696,6100,,P(T<=t) two-tail,2.50252E-62,,,,,,,
33336,900,33702,6100,,t Critical two-tail,1.976122494,,,,,,,
33337,900,33705,2700,,,,,,,,,,
33358,600,33706,2700,,Total Sample Size:,298,,,,,,,
33366,950,33707,5900,,Mean Difference:,-2779.368132,,,,,,,
33367,700,33708,6100,,Standard Error of Difference:,96.88582108,,,,,,,
33368,750,33711,2700,,,,,,,,,,
33373,850,33712,2700,,Confidence Interval:,191.4582504,,,,,,,
33374,850,33713,5900,,Lower Limit:,-94.57242927,,,,,,,
33375,900,33714,6100,,Upper Limit:,288.3440714,,,,,,,
33396,550,33769,3250,,,,,,,,,,
33397,850,33770,3250,,S Pooled:,788.9812129,,,,,,,
33398,900,33775,3250,,Cohen's D:,-9.639068069,,,,,,,
33507,800,33846,3250,,,,,,,,,,
33557,750,33847,3250,,Reject the null that there is no significant difference between the mean Annual Fuel Costs for FE Score 1 vehicles and FE Score 10 vehicles.,,,,,,,,
33558,550,34310,3250,,The difference is significant with P < .05 at 0.,,,,,,,,
33612,700,34364,5600,,With 95 % confidence the difference is between -94.57 and 288.34 in means.,,,,,,,,
33640,550,34367,5600,,,,,,,,,,
33900,1850,34368,5600,,,,,,,,,,
33905,550,34369,3200,,,,,,,,,,
34089,900,34442,2900,,,,,,,,,,
34130,600,34514,3250,,,,,,,,,,
34167,950,34515,3250,,,,,,,,,,
34392,550,34533,2700,,,,,,,,,,
34393,600,34538,2700,,,,,,,,,,
34394,600,34729,3850,,,,,,,,,,
34395,750,34730,3250,,,,,,,,,,
34425,850,34731,3850,,,,,,,,,,
34489,750,34732,3850,,,,,,,,,,
34516,700,34733,3250,,,,,,,,,,
34639,700,34894,3250,,,,,,,,,,
34662,900,34939,4250,,,,,,,,,,
34699,600,35253,3250,,,,,,,,,,
34719,800,35254,3500,,,,,,,,,,
34770,2100,35255,3250,,,,,,,,,,
34775,750,35372,6100,,,,,,,,,,
34776,700,35373,2900,,,,,,,,,,
34859,1050,35374,6100,,,,,,,,,,
34860,1050,35375,2900,,,,,,,,,,
34901,600,35376,5900,,,,,,,,,,
34918,600,35377,6100,,,,,,,,,,
35120,550,35378,2700,,,,,,,,,,
35206,550,35379,2700,,,,,,,,,,
35207,550,35380,2700,,,,,,,,,,
35246,1850,35381,2900,,,,,,,,,,
35247,800,35382,5900,,,,,,,,,,
35277,900,35383,6100,,,,,,,,,,
35279,1650,35384,2700,,,,,,,,,,
35317,2100,35385,2700,,,,,,,,,,
35556,750,35386,2700,,,,,,,,,,
35598,700,35387,2700,,,,,,,,,,
35601,600,35536,3250,,,,,,,,,,
35627,750,35546,3250,,,,,,,,,,
35667,800,35547,3250,,,,,,,,,,
35673,950,35603,3250,,,,,,,,,,
35765,900,35655,2400,,,,,,,,,,
35775,700,35839,3250,,,,,,,,,,
35849,550,35857,3250,,,,,,,,,,
35858,600,36015,3000,,,,,,,,,,
35859,600,36191,3250,,,,,,,,,,
35960,800,36192,3500,,,,,,,,,,
35970,600,36306,3250,,,,,,,,,,
35980,750,36442,3250,,,,,,,,,,
35994,750,36913,3250,,,,,,,,,,
36008,700,36960,3250,,,,,,,,,,
36009,650,36961,3250,,,,,,,,,,
36016,550,37027,3250,,,,,,,,,,
36017,700,37028,3250,,,,,,,,,,
36023,600,37090,3250,,,,,,,,,,
36030,1650,37091,3500,,,,,,,,,,
36126,650,37162,3500,,,,,,,,,,
36248,900,37200,2700,,,,,,,,,,
36553,600,37201,2900,,,,,,,,,,
36786,650,37202,2700,,,,,,,,,,
36787,700,37203,2900,,,,,,,,,,
36834,550,37272,3000,,,,,,,,,,
36860,600,37294,3250,,,,,,,,,,
36861,600,37295,3250,,,,,,,,,,
36862,2050,37369,3000,,,,,,,,,,
36863,1450,37410,3250,,,,,,,,,,
36932,900,37411,3250,,,,,,,,,,
36978,600,37485,3000,,,,,,,,,,
36979,700,37486,3000,,,,,,,,,,
36980,750,37497,3000,,,,,,,,,,
36996,550,37498,3000,,,,,,,,,,
36997,800,37567,3250,,,,,,,,,,
36998,850,37568,3250,,,,,,,,,,
37066,600,37605,3500,,,,,,,,,,
37067,600,37661,2700,,,,,,,,,,
37092,700,37662,2900,,,,,,,,,,
37130,1100,37663,2700,,,,,,,,,,
37131,2250,37664,2900,,,,,,,,,,
37156,600,37705,3250,,,,,,,,,,
37163,650,37706,3250,,,,,,,,,,
37164,600,37722,3250,,,,,,,,,,
37216,550,37723,3250,,,,,,,,,,
37222,1650,37801,3000,,,,,,,,,,
37233,750,37802,3250,,,,,,,,,,
37234,750,37914,3000,,,,,,,,,,
37235,750,37937,3000,,,,,,,,,,
37236,750,37938,3000,,,,,,,,,,
37238,650,38030,3000,,,,,,,,,,
37239,650,38047,3250,,,,,,,,,,
37240,650,38134,3000,,,,,,,,,,
37241,700,38135,3500,,,,,,,,,,
37242,700,38244,3250,,,,,,,,,,
37293,600,38291,5400,,,,,,,,,,
37297,750,38307,3250,,,,,,,,,,
37309,1450,38308,3500,,,,,,,,,,
37421,650,38309,2500,,,,,,,,,,
37422,650,38408,3500,,,,,,,,,,
37423,700,38409,3500,,,,,,,,,,
37470,850,38458,3250,,,,,,,,,,
37798,600,38507,3000,,,,,,,,,,
37800,900,38536,3850,,,,,,,,,,
37825,750,,,,,,,,,,,,
38000,550,,,,,,,,,,,,
38001,550,,,,,,,,,,,,
38002,800,,,,,,,,,,,,
38046,900,,,,,,,,,,,,
38061,650,,,,,,,,,,,,
38062,600,,,,,,,,,,,,
38097,750,,,,,,,,,,,,
38168,600,,,,,,,,,,,,
38170,650,,,,,,,,,,,,
38171,600,,,,,,,,,,,,
38172,700,,,,,,,,,,,,
38173,700,,,,,,,,,,,,
38187,550,,,,,,,,,,,,
38228,1250,,,,,,,,,,,,
38229,1800,,,,,,,,,,,,
38406,850,,,,,,,,,,,,
38428,600,,,,,,,,,,,,
38431,500,,,,,,,,,,,,
38484,650,,,,,,,,,,,,
38485,600,,,,,,,,,,,,
38486,700,,,,,,,,,,,,
38491,1100,,,,,,,,,,,,
38497,700,,,,,,,,,,,,
38500,750,,,,,,,,,,,,
38505,600,,,,,,,,,,,,
38506,900,,,,,,,,,,,,
38508,750,,,,,,,,,,,,
38523,600,,,,,,,,,,,,
38524,650,,,,,,,,,,,,
38525,700,,,,,,,,,,,,
38526,700,,,,,,,,,,,,
38527,700,,,,,,,,,,,,
38528,700,,,,,,,,,,,,
38529,750,,,,,,,,,,,,
38530,750,,,,,,,,,,,,
38531,650,,,,,,,,,,,,
38537,700,,,,,,,,,,,,
